X,Y,Xerr,Yerr
0.4004, 0.201, 0.0001, 0.001  
0.8119, 0.408, 0.0001, 0.001  
1.1890, 0.597, 0.0001, 0.001  
1.4566, 0.732, 0.0001, 0.001  
1.6542, 0.831, 0.0001, 0.001  
1.9689, 0.989, 0.0001, 0.001  
2.2375, 1.124, 0.0001, 0.001  
2.6502, 1.331, 0.0001, 0.001  
2.8583, 1.436, 0.0001, 0.001  
3.1908, 1.603, 0.0001, 0.001  
3.4989, 1.757, 0.0001, 0.001  
3.6539, 1.835, 0.0001, 0.001  
3.9278, 1.973, 0.0001, 0.001  
4.1842, 2.102, 0.0001, 0.001  
4.6801, 2.351, 0.0001, 0.001  
5.2189, 2.622, 0.0001, 0.001  
5.7469, 2.887, 0.0001, 0.001  
6.0399, 3.034, 0.0001, 0.001  
6.4336, 3.232, 0.0001, 0.001  
6.8255, 3.429, 0.0001, 0.001  
7.0474, 3.540, 0.0001, 0.001  
7.4596, 3.747, 0.0001, 0.001  
7.7659, 3.901, 0.0001, 0.001  
8.3663, 4.203, 0.0001, 0.001  
8.8659, 4.454, 0.0001, 0.001  
9.3420, 4.693, 0.0001, 0.001  
9.7763, 4.911, 0.0001, 0.001  
10.0614, 5.054, 0.0001, 0.001  
